2016-1; § 13 ophæves.
2016-1549; I § 373, stk. 3, 2. pkt., ændres »stk. 5, 3. pkt.« til: »stk. 6, 3. pkt.«.
2016-1549; I § 373 ophæves stk. 9, og efter stk. 10, der bliver stk. 9, indsættes som stk. 10-12:
2016-1549; I § 374, stk. 3, ændres »stk. 1 og stk. 5, 1. pkt.,« til: »stk. 1, 4 og 5, og stk. 6, 1. pkt.,«.
2016-1549; I § 1 indsættes som stk. 5:
2016-1549; I § 2 indsættes som nr. 26:
2016-1549; I § 19, nr. 27, udgår »og«.
2016-1549; I § 19, nr. 28, ændres »formue.« til »formue, og«.
2016-1549; I § 19 indsættes som nr. 29:
2016-1549; I § 20, stk. 1, nr. 28, udgår »og«.
2016-1549; I § 20, stk. 1, nr. 29, ændres »formue.« til »formue, og«.
2016-1549; I § 20, stk. 1, indsættes som nr. 30:
2016-1549; I § 21, nr. 23, udgår »og«.
2016-1549; I § 21, nr. 24, ændres »formue.« til »formue, og«.
2016-1549; I § 21 indsættes som nr. 25:
2016-1549; I § 31, stk. 2, indsættes efter 1. pkt.:
2016-1549; I § 32 indsættes efter stk. 5 som nyt stykke:
2016-1549; I § 35 indsættes som stk. 3:
2016-1549; I § 40, stk. 2 , indsættes efter 1. pkt.:
2016-1549; I § 41 indsættes efter stk. 5 som nyt stykke:
2016-1549; I § 44 indsættes som stk. 3:
2016-1549; Efter § 48 indsættes før overskriften før § 49:
2016-1549; I § 60, stk. 5, indsættes som 2. pkt.:
2016-1549; I § 61, stk. 7, indsættes som 3. pkt.:
2016-1549; I § 87 indsættes som stk. 4:
2016-1549; I § 93, stk. 2, indsættes som 2. pkt.:
2016-1549; I § 95, stk. 1-4, ændres »Finanstilsynet« til: »Erhvervs- og vækstministeren«.
2016-1549; I § 98, stk. 9, ændres »der gælder for eksterne revisorer i henhold til revisorloven« til: »der i medfør af revisorloven og Europa-Parlamentets og Rådets forordning (EU) nr. 537/2014 af 16. april 2014 om specifikke krav til lovpligtig revision af virksomheder af interesse for offentligheden finder anvendelse for eksterne revisorer for virksomheder af interesse for offentligheden«.
2016-1549; I § 170, stk. 1, 2. pkt., indsættes efter »§ 27, stk. 1,«: »§ 27 a«.
2016-1549; I § 175, stk. 3, indsættes som nr. 11:
2016-1549; I § 176 indsættes som stk. 6:
2016-1549; I § 190, stk. 1, 2. pkt., indsættes efter »46,«: »§ 48 a, stk. 1-6, § 48 b, § 48 c,«.
2016-1549; I § 12 a, stk. 2, indsættes som 3. pkt.:
2016-1549; I § 12 b, stk. 5, indsættes som 2. pkt.:
2016-1549; I § 12 d, stk. 6, indsættes som 3. pkt.:
2016-1549; I § 14, stk. 1, indsættes som 4. pkt.:
2016-1549; I § 27 a, stk. 1, indsættes efter »i henhold til dette kapitel«: »og artikel 17, stk. 1 og 7, i Europa-Parlamentets og Rådets forordning (EU) nr. 596/2014 af 16. april 2014 om markedsmisbrug (forordningen om markedsmisbrug)«.
2016-1549; I § 83, stk. 1, indsættes efter 1. pkt.:
2016-1549; I § 83, stk. 2, 1. pkt., ændres »§§ 63 og 64 i lov om investeringsforeninger m.v.« til: »§§ 82 og 83 i lov om investeringsforeninger m.v.«, og »i regler udstedt i medfør« udgår.
2016-1549; I § 83, stk. 2, 2. pkt., ændres »§ 76 i lov om investeringsforeninger m.v.« til: »§ 95 i lov om investeringsforeninger m.v. og § 131 i lov om forvaltere af alternative investeringsfonde m.v.«, og »Europa-Parlamentets og Rådets forordning om anvendelse af internationale regnskabsstandarder« ændres til: »Europa-Parlamentets og Rådets forordning (EF) nr. 1606/2002 af 19. juli 2002 om anvendelse af internationale regnskabsstandarder«.
2016-1549; § 83, stk. 5, affattes således:
2016-1549; § 83 b ophæves.
2016-1549; I § 84 a, stk. 6, nr. 30, udgår »og § 83 b«.
2016-1549; I § 84 b, stk. 4, ændres »§ 83, stk. 2 og 3, og § 83 b« til: »§ 83, stk. 2 og 3«.
2016-1549; I § 84 c indsættes som stk. 6:
2016-1549; I § 84 l indsættes som stk. 6:
2016-1549; I § 84 m indsættes som stk. 5:
2016-1549; I § 87 indsættes som stk. 10 og 11:
2016-1549; I § 88, stk. 1, 4. pkt., udgår »og § 83 b, stk. 2-4,«.
2016-1549; I § 3, stk. 3, ændres »§ 20, stk. 2-7 og 10« til: »§ 20, stk. 2-7 og 9«.
2016-1549; § 20, stk. 8, ophæves.
2016-1549; I § 20, stk. 9, der bliver stk. 8, ændres to steder »stk. 2-8« til: »stk. 2-7«.
2016-1549; I § 20, stk. 11, der bliver stk. 10, ændres »stk. 1-8« til: »stk. 1-7«.
2016-1549; I § 21, stk. 3, 2. pkt., indsættes efter »medlemmerne«: »har den fornødne viden og de fornødne kvalifikationer og kompetencer til at forstå og overvåge forvalterens lønpolitik og -praksis, risikostyring og kontrolaktiviteter, navnlig for så vidt angår tilpasning af forvalterens aflønningsstruktur til forvalterens risikoprofil og risikoprofilen for de forvaltede alternative investeringsfonde og forvaltning af kapital og likviditet, og«.
2016-1549; § 21, stk. 4, affattes således:
2016-1549; I § 21 indsættes efter stk. 4 som nyt stykke:
2016-1549; I § 30, stk. 1, ændres »indre værdi« til: »beregnede indre værdi«, og efter »pr. andel« indsættes: », jf. § 29,«.
2016-1549; I § 63 indsættes efter 1. pkt.:
2016-1549; I § 63, 2. pkt., der bliver 3. pkt., indsættes efter »prospektet«: »eller det lignende dokument, der er udleveret til investorerne«.
2016-1549; I § 162 ændres »forvaltere af alternative investeringsfondes pligt« til: »en pligt for forvaltere af alternative investeringsfonde og depositarer omfattet af § 46«, og to steder indsættes efter »forvalteren«: »eller depositaren«.
2016-1549; I § 170, stk. 3, nr. 4, ændres »§§ 62-66 og regler udstedt i medfør af § 66« til: »§§ 62-65 og regler udstedt i medfør af § 62, stk. 3, og § 66«.
2016-1549; I § 171 indsættes som stk. 6:
2016-1549; I § 190, stk. 2, ændres »§ 20, stk. 1-9« til: »§ 20, stk. 1-8«.
2016-1549; I § 190, stk. 4, ændres »§ 20, stk. 11 og 12« til: »§ 20, stk. 10 og 11«.
2016-1549; I § 12 indsættes som stk. 4:
2016-1549; I § 18 indsættes som stk. 6:
2016-1549; I § 49 a indsættes som stk. 6:
2016-1549; I § 93 indsættes som stk. 6:
2016-1549; I § 44 d, stk. 2, indsættes som 2. pkt.:
2016-1549; I § 66 c indsættes som stk. 6:
2016-1549; I § 15 indsættes som stk. 7:
2016-1549; I § 27 g indsættes som stk. 6:
2016-1549; I § 76 b indsættes som stk. 7:
2016-1549; I § 10 g indsættes som stk. 6:
2016-1549; I § 32 indsættes som stk. 6:
2016-1549; I § 32 a, stk. 1, indsættes som 3. pkt.:
2016-1549; I § 44 a, stk. 3, 1. pkt., indsættes efter »kan indbringes af Erhvervsstyrelsen«: »eller Finanstilsynet, jf. § 32, stk. 6,«.
2016-1549; I § 51, stk. 2, indsættes som 2. pkt.:
2016-1549; I § 2, stk. 2, indsættes efter »udviklingsselskaber«: », herunder danske og udenlandske udviklingsselskaber, der forventes at investere i virksomheder i Danmark«.
2016-1549; § 1, nr. 22-24, ophæves.
2016-1549; I § 10, stk. 3, ændres »§§ 152, 153« til: »§§ 153«, og »§ 1, nr. 22-26 og 31,« ændres til: »§ 1, nr. 25, 26 og 31,«.
2016-1549; § 2, nr. 9 og 10, ophæves.
2016-1549; I § 16, stk. 9, ændres »9-11« til: »11«.
2016-1549; § 7, nr. 2 og 3, ophæves.
2016-1550; I § 9, stk. 2, ændres »§ 13, stk. 1, 2. og 3. pkt.« til: »§ 13, stk. 1, 2.-4. pkt.«
2016-1550; I § 13, stk. 1, indsættes efter 2. pkt.:
2016-1551; § 32, stk. 4, nr. 2, ophæves.
2016-1551; I § 4, stk. 1, udgår »eller ville have været berettiget til rådighedsløn, hvis pågældende ikke havde nået folkepensionsalderen, jf. § 1 a i lov om social pension«.
2016-1551; I § 6, stk. 8, ændres », når en tjenestemand i politikorpset inden den 1. januar 2019 begærer afsked efter at være fyldt 63 år« til: »for tjenestemænd, der er født inden den 1. januar 1959, og som får fastsat pensionsalderen efter § 17, stk. 4«.
2016-1551; I § 8, stk. 1, ændres »lov om arbejdsskadeforsikring« til: »lov om arbejdsskadesikring eller lov om erstatning og godtgørelse til tidligere udsendte soldater og andre statsansatte med sent diagnosticeret posttraumatisk belastningsreaktion«.
2016-1552; I § 2, stk. 4, udgår », Marinehjemmeværnsinspektoratet og Flyverhjemmeværnsinspektoratet«.
2016-1553; I § 1 indsættes efter »bygger på«: »demokrati, grundlæggende friheds- og menneskerettigheder,«.
2016-1553; Efter § 4 indsættes:
2016-1553; I § 29 indsættes efter stk. 2 som nyt stykke:
2016-1553; I § 33, stk. 3, ændres »børn og unge.« til: »børn og unge, jf. dog stk. 4.«
2016-1553; § 33, stk. 4, ophæves, og i stedet indsættes:
2016-1553; § 33, stk. 5, 2. pkt., der bliver stk. 6, 2. pkt., ophæves.
2016-1553; I § 33 indsættes som stk. 9:
2016-1553; Efter § 35 indsættes:
2016-1553; Efter kapitel 11 indsættes i afsnit I:
2016-1553; I § 8 A, stk. 3, indsættes som 4. pkt.:
2016-1553; I § 12, stk. 4, indsættes som 4. pkt.:
2016-1554; I § 26, stk. 5, 2. pkt., og stk. 6, 1. og 2. pkt., ændres »§ 12« til: »§ 12, stk. 1-7«.
2016-1554; I § 31, stk. 5, 2. pkt., og stk. 6, 1. og 2. pkt., ændres »§ 20, stk. 1 eller 4-10« til: »§ 20, stk. 1 eller 4-9«.
2016-1554; I § 25, stk. 5, 2. pkt., og stk. 6, 1. og 2. pkt., ændres »§ 18, stk. 1-3, 5 og 7-10« til: »§ 18, stk. 1-3, 5 og 7-9«.
2016-1554; I § 1, stk. 1, nr. 4, ændres »danske statsborgere, som« til: »personer, som«, og »er danske statsborgere, og de« udgår.
2016-1554; I § 62 D, stk. 3, og § 88, stk. 2, indsættes efter »Rådets direktiv 2014/107/EU af 9. december 2014«: », Rådets direktiv 2015/2376/EU af 8. december 2015 og Rådets direktiv 2016/881/EU af 25. maj 2016«.
2016-1554; I § 7, nr. 15, 1. pkt., ændres »danske statsborgere« til: »personer«.
2016-1554; I § 16 H, stk. 2, 2. pkt., indsættes efter »Rådets direktiv 2014/107/EU af 9. december 2014«: », Rådets direktiv 2015/2376/EU af 8. december 2015 og Rådets direktiv 2016/881/EU af 25. maj 2016«.
2016-1554; I § 15 C, stk. 1, nr. 6, indsættes efter »Rådets direktiv 2014/107/EU af 9. december 2014«: », Rådets direktiv 2015/2376/EU af 8. december 2015 og Rådets direktiv 2016/881/EU af 25. maj 2016«.
2016-1554; Fodnoten til lovens titel affattes således:
2016-1554; I § 11, stk. 1, nr. 1, og § 11 A, stk. 2, nr. 4, indsættes efter »Rådets direktiv 2014/107/EU af 9. december 2014«: », Rådets direktiv 2015/2376/EU af 8. december 2015 og Rådets direktiv 2016/881/EU af 25. maj 2016«.
2016-1555; I § 1, stk. 4, nr. 1, udgår »har fast bopæl her i landet og«.
2016-1555; I § 1 indsættes efter stk. 4 som nyt stykke:
2016-1555; I § 1, stk. 7, 1. pkt., der bliver stk. 8, 1. pkt., ændres »stk. 1-6« til: »stk. 1-7«.
2016-1555; I § 4, stk. 1, og § 5, stk. 2, ændres »stk. 7« til: »stk. 8«.
2016-1556; I bilag 1 udgår »Forlystelser, herunder teaterforestillinger, biografforestillinger m.v.«
2016-1557; I § 15 a, stk. 1, 4. pkt., ændres »5.-10. pkt.« til: »5.-11. pkt.«
2016-1557; I § 15 a, stk. 1, indsættes som 11. pkt.:
2016-1557; I § 13, stk. 3, indsættes efter »indkomstårets hensættelser«: », særlige bonushensættelser«, og efter »forsikringsmæssige hensættelser« indsættes: »og særlige bonushensættelser«.
2016-1557; § 14, stk. 7, affattes således:
2016-1557; I § 31 C, stk. 8, 1. pkt., ændres »sambeskatningen« til: »sambeskatning i alle indkomstperioder«.
2016-1558; I § 7 indsættes som stk. 9 og 10:
2016-1558; I § 7 b indsættes som stk. 5 og 6:
2016-1558; I § 9 b indsættes som stk. 5 og 6:
2016-1558; I § 9 c indsættes som stk. 10 og 11:
2016-1558; I § 11 indsættes som stk. 21 og 22:
2016-1558; I § 11 b, stk. 3, 1. pkt., udgår »med en bruttotonnage på mindst 400 t«.
2016-1558; I § 11 b indsættes som stk. 9 og 10:
2016-1558; I § 11 f indsættes som stk. 4 og 5:
2016-1558; I § 1 indsættes som stk. 6 og 7:
2016-1558; I § 8 indsættes som stk. 13 og 14:
2016-1558; I § 8 a indsættes som stk. 5 og 6:
2016-1558; I § 10 indsættes som stk. 16 og 17:
2016-1558; I § 7 indsættes som stk. 9 og 10:
2016-1558; I § 7 b indsættes som stk. 5 og 6:
2016-1558; I § 7 indsættes som stk. 2:
2016-1558; I § 7 a, stk. 1, 3. pkt., ændres »stk. 2.« til: »stk. 3.«
2016-1558; I § 7 a indsættes efter stk. 1 som nyt stykke:
2016-1558; I § 1, stk. 2, nr. 11, ændres »særlige kompetencegivende voksenuddannelser omfattet af lov om erhvervsrettet grunduddannelse og videregående uddannelse (videreuddannelsessystemet) for voksne, erhvervsrettet uddannelse omfattet af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v., deltidsuddannelser omfattet af universitetsloven, åben uddannelse omfattet af lov om videregående kunstneriske uddannelsesinstitutioner og maritime uddannelser omfattet af lov om maritime uddannelser og uddannelser omfattet af lov om professionshøjskoler for videregående uddannelser, dog ikke professionshøjskolers udbud af kurser og andre aktiviteter som indtægtsdækket virksomhed.« til: »særlige kompetencegivende voksenuddannelser omfattet af lov om videregående uddannelse (videreuddannelsessystemet) for voksne, erhvervsrettet uddannelse omfattet af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v., uddannelser omfattet af universitetsloven, uddannelser omfattet af lov om videregående kunstneriske uddannelsesinstitutioner, uddannelser omfattet af lov om maritime uddannelser, uddannelser omfattet af lov om erhvervsakademiuddannelser og professionsbacheloruddannelser, uddannelser omfattet af lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed, uddannelser omfattet af lov om institutioner for erhvervsrettet uddannelse og uddannelser omfattet af lov om produktionsskoler.«
2016-1558; I § 9 indsættes som stk. 16 og 17:
2016-1558; I § 9 a indsættes som stk. 5 og 6:
2016-1558; I § 11 indsættes som stk. 18 og 19:
2016-1558; I § 11 indsættes som stk. 3 og 4:
2016-1558; I § 33 indsættes som stk. 10 og 11:
2016-1558; I § 21, stk. 2, 3. pkt., ændres »2016« til: »2017«.
2016-1558; I § 21 indsættes som stk. 3 og 4:
2016-1558; I overskriften før § 4 indsættes efter »Traktorer«: »og blokvogne«.
2016-1558; § 4, stk. 3, ophæves, og i stedet indsættes:
2016-1558; I § 6, stk. 1, indsættes efter »registreres i Køretøjsregisteret,«: »jf. § 1, stk. 1, og § 4, stk. 4,«.
2016-1558; I § 1, stk. 2, indsættes efter »brændstofforbrugsafgiftsloven,« : »godkendte blokvogne«.
2016-1559; § 6 a affattes således:
2016-1559; Efter § 14 a indsættes:
2016-1559; I § 29, stk. 1, indsættes som nr. 5 og 6:
2016-1559; I § 29, stk. 3, 1. pkt., indsættes efter »godkendelse efter stk. 1«: », erklæring om, at godkendelse efter stk. 1 indhentes efterfølgende, idet der er tale om konvertering af fastforrentet lån til fastforrentet lån,«, og »stk. 1, nr. 1-4« ændres til: »stk. 1, nr. 1-6«.
2016-1559; I § 32 indsættes efter »14 a,«: »14 b,«.
2016-1559; I § 54 indsættes som stk. 7:
2016-1559; I § 29, stk. 2, indsættes som 2. pkt.:
2016-1560; I § 3, stk. 4, indsættes som 2. pkt.:
2016-1560; I § 15, stk. 4, ændres »B-breve« til: »breve«.
2016-1560; I § 18, stk. 1, indsættes efter 1. pkt.:
2016-1561; I § 53, stk. 2, 2. pkt., ændres », indstilles af Dansk Flygtningehjælp, gøre tjeneste i Udenrigsministeriets departement eller gøre tjeneste i Udlændinge-, Integrations- og Boligministeriets departement« til: »eller gøre tjeneste i Udlændinge-, Integrations- og Boligministeriets departement, dog ikke Flygtningenævnets sekretariat«.
2016-1561; I § 53, stk. 3, 2. pkt., udgår »henholdsvis Dansk Flygtningehjælp, udenrigsministeren og«.
2016-1561; I § 53, stk. 4, indsættes efter 2. pkt.:
2016-1561; I § 53, stk. 6, udgår », et medlem, der indstilles af Dansk Flygtningehjælp, et medlem, der gør tjeneste i Udenrigsministeriets departement,«.
2016-1562; I § 5 indsættes efter 2. pkt.:
2016-1562; I § 6 indsættes som stk. 3:
2016-1562; Bilag 1 ophæves.
2016-1562; I § 3, stk. 4, og § 4, stk. 2, indsættes efter 2. pkt.:
2016-1563; I § 1, stk. 2, 2. pkt., indsættes efter »elevernes«: »demokratiske dannelse og deres«.
2016-1563; I § 1 a, stk. 4, ændres »henholdsvis« til: »og«.
2016-1563; I § 9 a, stk. 1, nr. 2, udgår »og«.
2016-1563; I § 9 a, stk. 1, nr. 3, indsættes efter »§ 2, stk. 3, 1. pkt.«: », og«.
2016-1563; I § 9 a, stk. , indsættes som nr. 4:
2016-1563; I § 9 b, stk. 1, 1. pkt., ændres »4 år« til: »2 år«.
2016-1563; I § 9 b, stk. 2, nr. 4, ændres: »grundskole, eller« til: »grundskole,«, og i nr. 5 ændres »1-4.« til: »1-4, eller«.
2016-1563; I § 9 b, stk. 2, indsættes som nr. 6:
2016-1563; I § 9 b indsættes efter stk. 3 som nye stykker:
2016-1563; I § 9 c indsættes efter stk. 3 som nyt stykke:
2016-1563; I § 9 d indsættes efter stk. 4 som nyt stykke:
2016-1563; I § 9 d, stk. 5, der bliver stk. 6, ændres »formen for afgivelse af den tilsynserklæring, der er nævnt i stk. 4« til: »indholdet i og formen for afgivelse af den tilsynserklæring, der er nævnt i stk. 4, herunder regler om, at tilsynserklæringen skal afgives i elektronisk form, og om, i hvilket digitalt format tilsynserklæringen skal afgives«.
2016-1563; I § 9 g indsættes efter stk. 1 som nye stykker:
2016-1563; I § 10 indsættes som stk. 5:
2016-1563; I § 17, stk. 3, 1. pkt., indsættes efter »i forbindelse med«: »introduktionskurser og«.
2016-1563; I § 2, stk. 3, ændres »henholdsvis« til: »og«.
2016-1563; Overskriften før § 23 c affattes således:
2016-1563; I § 23 c, stk. 1, 1. pkt., indsættes efter »i forbindelse med«: »introduktionskurser og«.
2016-1564; I overskriften til kapitel 7 indsættes efter »oplysninger«: »m.v.«
2016-1564; I § 29 indsættes efter stk. 2 som nyt stykke:
2016-1564; I § 29, stk. 3, der bliver stk. 4, indsættes som 2. pkt.:
2016-1564; I § 38, stk. 2, indsættes efter nr. 4 som nyt nummer:
2016-1564; I § 38, stk. 2, nr. 10, der bliver nr. 11, ændres »nr. 1-9« til: »nr. 1-10«.
2016-1564; I § 42, stk. 2, indsættes efter nr. 4 som nyt nummer:
2016-1564; I bilag 1, nr. 10, 1. pkt., udgår »eller«, og efter »§ 29, stk. 2« indsættes: », eller markering af, at vedkommende ønsker at advare mod kreditgivning i vedkommendes navn, jf. § 29, stk. 3«.
2016-1658; I § 35, stk. 7 og 9, ændres »bestemmelserne i §§ 59 og 60« til: »kredsen af klageberettigede efter § 59 og om regler for indgivelse og behandling af klage«.
2016-1658; § 58 affattes således:
2016-1658; I § 10 d, stk. 2, indsættes efter »ikke«: », eller kun for så vidt angår retlige spørgsmål,«.
2016-1658; § 10 e affattes således:
2016-1658; § 9 affattes således:
2016-1658; § 10, stk. 1, affattes således:
2016-1658; § 11 affattes således:
2016-1658; Overalt i loven ændres »Natur- og Miljøklagenævnet« til: »Planklagenævnet«.
2016-166; I § 149, stk. 7, indsættes som 3. pkt.:
2016-166; § 719 affattes således:
2016-166; § 721, stk. 2, affattes således:
2016-166; § 722, stk. 3, affattes således:
2016-166; § 748 b, stk. 3, affattes således:
2016-166; I § 792 e, stk. 3, indsættes efter 2. pkt.:
2016-1662; Efter § 63 indsættes før overskriften før § 64:
2016-1662; I § 137 m, stk. 1, 1. pkt., ændres »straks« til: »inden for 24 timer«.
2016-1662; I § 137 m, stk. 1, 2. pkt., ændres »straks« til: »herefter uden ugrundet ophold«.
2016-1662; § 1, nr. 5, ophæves.
2016-1663; I § 4 indsættes som stk. 2:
2016-1663; I § 12 indsættes som stk. 3:
2016-1664; I § 4, stk. 1, ændres »447,9« til: »448,5«, »190,4« til: »186,3«, og »257,5« til: »262,2«.
2016-1664; § 5 a ophæves.
2016-1664; I § 1, stk. 1, ændres »199,7« til: »195,3«, og »254,5« ændres til: »258,9«.
2016-1664; § 3 ophæves.
2016-1664; I § 1, stk. 1, ændres »458,4« til: »457,0«, »205,8« til: »200,0«, og »252,6« til: »257,0«.
2016-1664; § 3 ophæves.
2016-1665; I § 48, stk. 3, 1. pkt., indsættes efter »truffet«: », jf. dog stk. 4«.
2016-1665; I § 48 indsættes som stk. 4:
2016-1665; I § 52, stk. 2, 3. pkt., indsættes efter »afholdes«: »ved anmodning om henstand efter § 51, og godtgørelsesberettigede udgifter, som afholdes«.
2016-1665; I § 52, stk. 7, indsættes efter »kapitel«: »for klager over afgørelser om omkostningsgodtgørelse eller«.
2016-1665; I § 52, stk. 8, 1. pkt., ændres »Krav« til: »Den godtgørelsesberettigedes krav«, og i 3. pkt. indsættes efter »modregning«: »over for den godtgørelsesberettigede«.
2016-1665; I § 52 a, 2. pkt., ændres »§ 57, stk. 4 og 5« til: »§ 57, stk. 3-5«.
2016-1665; I § 53, stk. 1, udgår »bortset fra dem, der er nævnt i stk. 2«.
2016-1665; § 53, stk. 2, ophæves.
2016-1665; I § 55, stk. 3, udgår », ved domstolsprøvelse af afgørelser i sager, hvor et vurderingsankenævn eller et motorankenævn har truffet afgørelse, og ved domstolsprøvelse af afgørelser i sager som nævnt i stk. 2«, og som 2. og 3. pkt. indsættes:
2016-1665; I § 55, stk. 4, 1. pkt., indsættes efter »afholdes«: »ved anmodning om henstand efter § 51, og godtgørelsesberettigede udgifter, som afholdes«.
2016-1665; I § 57, stk. 3, indsættes som 2.-4. pkt.:
2016-1665; I § 57, stk. 4, 1. pkt., indsættes efter »udbetalte godtgørelsesbeløb«: »med en rente fastsat efter kildeskattelovens § 62, stk. 3«, og efter 1. pkt. indsættes:
2016-1665; I § 57, stk. 4, indsættes som 4. pkt.:
2016-1665; Efter § 58 indsættes:
2016-1665; I § 7 Q, stk. 3, 2. pkt., indsættes efter »kapitel 19«: »for de samme udgifter«, og som 3. pkt. indsættes:
2016-167; Efter § 172 indsættes:
2016-167; I § 173, stk. 1, og stk. 2, 1. pkt., ændres »§§ 169-172« til: »§§ 169-172 a«.
2016-167; I § 183, stk. 3, indsættes efter 1. pkt.:
2016-167; § 731 a affattes således:
2016-167; § 745 e, stk. 1, ophæves, og i stedet indsættes:
2016-167; I § 745 e, stk. 2, 1. og 3. pkt., der bliver stk. 3, 1. og 3. pkt., udgår to steder »eller sigtet«, og i § 745 e, stk. 2, 3. pkt., der bliver stk. 3, 3. pkt., ændres »barnet« til: »personen«.
2016-167; I § 745 e indsættes som stk. 4:
2016-167; I § 748, stk. 1, 3. pkt., ændres »afhøring af et barn, når retten efter § 183, stk. 3, har bestemt, at afhøringen skal optages på video« til: »videoafhøring af en person efter § 183, stk. 3«.
2016-167; I § 845, stk. 1, indsættes efter nr. 3 som nyt nummer:
2016-167; § 872 affattes således:
2016-168; § 115, stk. 1, nr. 3, affattes således:
2016-169; I § 21, stk. 3, nr. 1, § 22, stk. 3, § 23, stk. 2, nr. 5, § 25, stk. 2, § 26, stk. 1, nr. 4, og § 28, stk. 1, nr. 1, indsættes efter »institutionen«: »eller som led i kriminalforsorgens indsats mod radikalisering og ekstremisme«.
2016-169; I § 27, stk. 2, nr. 2, indsættes efter »arresthuset«: »eller som led i kriminalforsorgens indsats mod radikalisering og ekstremisme«.
2016-170; I § 124, stk. 4, indsættes som 3. pkt.:
2016-1705; I § 15, stk. 1, indsættes efter 1. pkt.:
2016-1705; I § 15, stk. 2, indsættes efter 2. pkt.:
2016-1705; I § 15, stk. 5, indsættes efter 1. pkt.:
2016-1705; I § 18 indsættes efter stk. 1 som nye stykker:
2016-1705; I § 18, stk. 2, der bliver stk. 4, indsættes som 3. pkt.:
2016-1705; I § 18, stk. 4, der bliver stk. 6, ændres »stk. 1« til: »stk. 1 og 2«, og »stk. 2« ændres til: »stk. 4«.
2016-1705; I § 19, stk. 2, ændres »§ 18, stk. 1« til: »§ 18 stk. 1 og 2«.
2016-1705; I § 20, stk. 1, ændres »§ 18, stk. 3,« til: »§ 18, stk. 5, samt afgørelser om fordeling af tilskud truffet efter § 18, stk. 3,«.
2016-1705; Før § 23 indsættes:
2016-1705; I § 23, stk. 4, indsættes som 3. pkt.:
2016-1705; § 35, stk. 3, 2. pkt., affattes således:
2016-1705; § 35, stk. 3, 2. pkt., affattes således:
2016-1705; I § 35 a, stk. 1, ændres »den 1. januar 2014 eller senere« til: »i perioden fra og med den 1. januar 2014 til og med den 20. februar 2018«.
2016-1705; I § 37, stk. 2, indsættes som nr. 5 og 6:
2016-1705; § 37, stk. 2, affattes således:
2016-1705; I § 37, stk. 4, 1. pkt., ændres »og 20 TWh« til: »20 TWh«, og efter »stk. 2, nr. 3 og 4« indsættes: », 8,5 TWh for havvindmølleparken, der er nævnt i stk. 2, nr. 5, og 9 TWh for havvindmølleparken, der er nævnt i stk. 2, nr. 6«.
2016-1705; § 37, stk. 4, 1. pkt., affattes således:
2016-1705; I § 37, stk. 5, ændres »nr. 3 og 4« til: »nr. 3-6«.
2016-1705; § 37, stk. 5, 1. pkt., affattes således:
2016-1705; I § 41, stk. 5, indsættes som 2. pkt.:
2016-1705; I § 43 a, stk. 8, indsættes som 2. pkt.:
2016-1705; I § 44, stk. 6, indsættes som 2. pkt.:
2016-1705; I § 47, stk. 8, indsættes efter 1. pkt.:
2016-1705; I § 47, stk. 10, indsættes efter 2. pkt.:
2016-1705; Efter kapitel 6 indsættes:
2016-1705; I § 7, stk. 9, ændres »den 1. januar 2014 eller senere« til: »i perioden fra og med den 1. januar 2014 til og med den 20. februar 2018«.
2016-171; Efter § 81 indsættes:
2016-1715; Overalt i loven ændres »Natur- og Miljøklagenævnet« til: »Miljø- og Fødevareklagenævnet«, og »Natur- og Miljøklagenævnets« til: »Miljø- og Fødevareklagenævnets«.
2016-1715; I § 33, stk. 2, og § 78, stk. 1, 3, 4, 6 og 7, ændres »som sammensat efter § 5, stk. 1, nr. 2,« til: », som behandler sagen i den læge afdeling, jf. § 3, stk. 1, nr. 9,«.
2016-1715; I § 78, stk. 5, ændres »som sammensat efter § 5, stk. 1, nr. 1,« til: », som behandler sagen i en af nævnets afdelinger, jf. § 3, stk. 1, nr. 1-6,«.
2016-1715; I § 87, stk. 2, 1. pkt., ændres »jf. dog § 18 b, stk. 2-4,« til: »jf. dog § 21, stk. 2-4,«.
2016-1715; Overalt i loven ændres »Natur- og Miljøklagenævnet« til: »Miljø- og Fødevareklagenævnet«, og »Natur- og Miljøklagenævnets« til: »Miljø- og Fødevareklagenævnets«.
2016-1715; I § 91, stk. 1, 1. pkt., ændres »som sammensat efter § 5, stk. 1, nr. 1,« til: », som behandler sagen i en af nævnets afdelinger, jf. § 3, stk. 1, nr. 1-6,«.
2016-1715; I § 91, stk. 2, 1. pkt., ændres »som sammensat efter § 5, stk. 1, nr. 2,« til: », som behandler sagen i den læge afdeling, jf. § 3, stk. 1, nr. 9,«.
2016-1715; I § 94, stk. 1, 1. pkt., ændres »jf. dog § 18 b, stk. 2-4,« til: »jf. dog § 21, stk. 2-4,«.
2016-1715; Overalt i loven ændres »Natur- og Miljøklagenævnet« til: »Miljø- og Fødevareklagenævnet«.
