2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-1639; I § 22 indsættes som stk. 5:
2013-1640; I § 3, stk. 1, indsættes som 2. pkt.:
2013-1640; I § 3, stk. 2, 2. pkt., og § 51, stk. 5, 1. pkt., ændres »§ 16, stk. 3, 1. pkt.« til: »§ 16, stk. 4.«
2013-1640; I § 3, stk. 3, ændres », 14 og 16 og« til: »og 14, § 14 b, stk. 1 og stk. 2, 1. pkt.,«.
2013-1640; I § 3 indsættes efter stk. 3 som nye stykker:
2013-1640; I § 3, stk. 5, som bliver stk. 7, indsættes som 2. pkt.:
2013-1640; I § 3 a, 1. pkt., og § 51, stk. 5, 2. pkt., ændres »§ 5, stk. 6« til: »§ 5, stk. 5«.
2013-1640; I § 5, stk. 2, nr. 1, litra b, ændres »3.-9. klassetrin« til: »1.-9. klassetrin«.
2013-1640; I § 5, stk. 2, nr. 1, indsættes efter litra d som nyt litra:
2013-1640; I § 5, stk. 2, nr. 2, litra d, ændres »Håndarbejde, sløjd og hjemkundskab« til: »Håndværk og design samt madkundskab«.
2013-1640; § 5, stk. 3, affattes således:
2013-1640; § 5, stk. 4, ophæves.
2013-1640; Fire steder i § 5, stk. 5, der bliver stk. 4, ændres »stk. 2-4« til: »stk. 2«.
2013-1640; I § 5, stk. 6, der bliver stk. 5, indsættes som 3. pkt.:
2013-1640; I § 5, stk. 7, 3. pkt., der bliver stk. 6, 3. pkt., ændres »stk. 1-4« til: »stk. 1-3«, og »§ 16, stk. 1« ændres til: »§ 14 b, stk. 2, 1. pkt.«
2013-1640; I § 5, stk. 8, 1. pkt., der bliver stk. 7, 1. pkt., ændres »stk. 7« til: »stk. 6«.
2013-1640; § 9, stk. 1 og 2, affattes således:
2013-1640; § 9, stk. 5 og 6, affattes således:
2013-1640; § 9, stk. 7, 1. pkt., affattes således:
2013-1640; I § 9 indsættes som stk. 8:
2013-1640; I § 10, stk. 1, 1. pkt., ændres »§ 9, stk. 1, 2 og 5« til: »§ 9«.
2013-1640; I § 10, stk. 3, 2. pkt., udgår »og stk. 2,«.
2013-1640; I § 12, stk. 1, 1. pkt., ændres »stk. 7« til: »stk. 3«.
2013-1640; I § 12, stk. 4, udgår »§ 5, stk. 3 og 4, og«.
2013-1640; I § 13, stk. 6, 1. pkt., udgår »og i faget idræt en udtalelse«.
2013-1640; § 13, stk. 6, 4. pkt., ophæves.
2013-1640; § 13, stk. 9, ophæves, og i stedet indsættes:
2013-1640; I § 14, stk. 1 og stk. 3, 1. pkt., tre steder i § 14, stk. 4, i § 14, stk. 5, og § 19 f, stk. 1, 1. pkt., og stk. 3, 2. pkt., ændres »afgangsprøver« til: »9.-klasseprøver«.
2013-1640; § 14, stk. 1, nr. 10, ophæves, og i stedet indsættes:
2013-1640; I § 14, stk. 2, 2. pkt., ændres »stk. 1, nr. 2-10« til: »stk. 1, nr. 2-11«.
2013-1640; § 14, stk. 2, 3. pkt., affattes således:
2013-1640; I § 14, stk. 3, 1. og 2. pkt., ændres »håndarbejde, sløjd og hjemkundskab« til: »håndværk og design samt madkundskab«.
2013-1640; I § 14, stk. 4, 1. pkt., og § 19 f, stk. 3, 1. pkt., ændres »afgangsbevisernes« til: »bevisernes«.
2013-1640; Efter § 14 indsættes:
2013-1640; § 15 affattes således:
2013-1640; § 16 affattes således:
2013-1640; Efter § 16 indsættes:
2013-1640; I § 18, stk. 2, ændres »klasselæreren og klassens øvrige lærere« til: »det undervisende personale, der er tilknyttet klassen,«.
2013-1640; I § 18, stk. 4, 1. pkt., ændres »lærer og elev løbende« til: »lærere og pædagoger, jf. § 29 a, løbende med den enkelte elev«.
2013-1640; I § 18, stk. 4, 3. pkt., ændres »lærerne og eleverne« til: »lærere henholdsvis pædagoger, jf. § 29 a, og elever«.
2013-1640; § 18, stk. 5, affattes således:
2013-1640; I § 19, stk. 1, 2. pkt., og § 50, stk. 1, nr. 1, ændres »§ 3, stk. 4« til: »§ 3, stk. 6«.
2013-1640; I § 19 b, stk. 1, 3. pkt., § 19 e, stk. 1, 1. pkt., og § 19 h, stk. 3, 2. pkt., ændres »10.-klasses-forløb« til: »10.-klasseforløb«.
2013-1640; I § 19 b, stk. 3, og § 50, stk. 9, ændres »§ 16, stk. 5 og 6,« til: »§ 16 c«.
2013-1640; I § 19 d, stk. 3, 1. pkt., ændres »faget som tilbudsfag i 7.-9. klasse, jf. § 5, stk. 3 og 4« til: »tysk eller fransk i 5.-9. klasse efter § 5, stk. 2, nr. 1, litra e«.
2013-1640; I § 19 d, stk. 3, 2. pkt., ændres »8. og 9. klasse« til: »7.-9. klasse«.
2013-1640; I § 19 e, stk. 1, 2. pkt., ændres »10.-klasses-fag« til: »10.-klassefag«.
2013-1640; I § 19 f, stk. 1, 3 og 4, ændres »10.-klasses-prøver« til: »10.-klasseprøver«.
2013-1640; § 19 h, stk. 4, affattes således:
2013-1640; I § 19 i, stk. 1, 1. pkt., ændres »§ 3, stk. 2-4, 6 og 7« til: »§ 3, stk. 2-6, 8 og 9«.
2013-1640; I § 19 i, stk. 2, 1. pkt., ændres »§ 5, stk. 1, 6, 7 og 8« til: »§ 5, stk. 1 og 5-7«.
2013-1640; I § 19 i, stk. 2, 2. pkt., ændres »§ 5, stk. 7« til: »§ 5, stk. 6«.
2013-1640; I § 19 i, stk. 4, ændres »§§ 15 og 19« til: »§§ 14 a og 19«.
2013-1640; I § 22, stk. 7, ændres »Undervisning i henhold til §§ 9 og 19 b-19 e« til: »Undervisning for elever på 7.-10. klassetrin efter § 5, stk. 2, nr. 1, litra e, § 9 og §§ 19 b-19 e«.
2013-1640; I § 22, stk. 8, ændres »10.-klasses-undervisning« til: »10.-klasseundervisning«.
2013-1640; I § 24, stk. 3, 1. pkt., ændres »indstilling« til: »indhentet udtalelse«.
2013-1640; § 24, stk. 3, 2. pkt., affattes således:
2013-1640; § 24, stk. 3, 3. pkt., ophæves.
2013-1640; § 24 a ophæves, og i stedet indsættes:
2013-1640; I § 25, stk. 1, 2. pkt., indsættes efter »små skoler«: »og små afdelinger af skoler, jf. § 55, stk. 1, 2. pkt.,«.
2013-1640; I § 25, stk. 2, 1. pkt., ændres »stk. 7« til: »stk. 3«, og 3. pkt. ophæves.
2013-1640; § 25, stk. 3-7, ophæves, og i stedet indsættes:
2013-1640; Efter § 25 indsættes:
2013-1640; I § 26, stk. 6, 1. pkt., ændres »§ 5, stk. 7 og 8« til: »§ 5, stk. 6 og 7«.
2013-1640; I § 26, stk. 6, 2. og 3. pkt., og § 36, stk. 2, 2. pkt., ændres »§ 5, stk. 8« til: »§ 5, stk. 7«.
2013-1640; § 28, stk. 1, 1. pkt., affattes således:
2013-1640; § 28, stk. 3, ophæves.
2013-1640; § 29, stk. 1, 1. pkt., affattes således:
2013-1640; § 29, stk. 2, ophæves.
2013-1640; Efter § 29 indsættes:
2013-1640; § 30 affattes således:
2013-1640; I § 33 indsættes som stk. 8 og 9:
2013-1640; I § 34, stk. 1, 2. pkt., ændres »§ 33, stk. 2-7« til: »§ 33, stk. 2-9«.
2013-1640; I § 34, stk. 3, 1. pkt., og § 40, stk. 5, 1. pkt., ændres »§ 25, stk. 7« til: »§ 25, stk. 3«.
2013-1640; I § 36, stk. 7, 1. pkt., § 40, stk. 4, 1. pkt., § 50, stk. 2, 1. pkt., og § 50, stk. 3, ændres »§ 3, stk. 5« til: »§ 3, stk. 7«.
2013-1640; I § 40, stk. 2, nr. 2, 1. pkt., ændres »§ 3, stk. 4« til: »§ 3, stk. 6«, og »§ 3, stk. 5« ændres til: »§ 3, stk. 7«.
2013-1640; I § 40, stk. 2, nr. 5, § 40, stk. 3, 2. pkt., og § 44, stk. 2, nr. 1, ændres »§ 5, stk. 5« til: »§ 5, stk. 4«.
2013-1640; I § 40, stk. 2, nr. 6, ændres »§ 3, stk. 6 og 7« til: »§ 3, stk. 4, 8 og 9«.
2013-1640; I § 40, stk. 6, ændres »ledere og lærere« til: »ledere, lærere og pædagoger, jf. § 29 a,«.
2013-1640; I § 40 indsættes som stk. 7:
2013-1640; I § 41, stk. 1, nr. 2, ændres »§ 42, stk. 3« til: »§ 42, stk. 4«.
2013-1640; § 42, stk. 1, ophæves, og i stedet indsættes:
2013-1640; I § 42, stk. 4, der bliver stk. 5, indsættes efter »stk. 1«: »og 2«.
2013-1640; § 42, stk. 6, der bliver stk. 7, affattes således:
2013-1640; I § 42, stk. 8, 1. pkt., der bliver stk. 9, 1. pkt., ændres »stk. 9« til: »stk. 10 og 13«, og »stk. 11« ændres til: »stk. 12«.
2013-1640; I § 42, stk. 9, der bliver stk. 10, ændres »stk. 8, 1. pkt.« til: »stk. 9, 1. pkt.«
2013-1640; § 42, stk. 11, der bliver stk. 12, ophæves, og i stedet indsættes:
2013-1640; § 43, stk. 1 og 2, ophæves, og i stedet indsættes:
2013-1640; I § 44, stk. 2, nr. 1, indsættes efter »skoledagens længde,«: »understøttende undervisning, holddannelse, samarbejder efter § 3, stk. 4, 1. pkt.,«.
2013-1640; I § 44, stk. 2, indsættes efter nr. 1 som nyt nummer:
2013-1640; I § 44, stk. 2, nr. 2, der bliver nr. 3, indsættes efter »hjem,«: »og om skolens og forældrenes ansvar i samarbejdet,«.
2013-1640; I § 44, stk. 5, og § 50, stk. 1, nr. 2, ændres »§ 3, stk. 6« til: »§ 3, stk. 8«.
2013-1640; I § 44, stk. 6, og § 50, stk. 1, nr. 3, ændres »§ 3, stk. 7« til: »§ 3, stk. 9«.
2013-1640; I § 44, stk. 7, ændres »ledere og lærere« til: »ledere, lærere og pædagoger, jf. § 29 a«.
2013-1640; I § 44, stk. 8, 2. pkt., ændres »indstilling« til: »udtalelse«.
2013-1640; I § 45, stk. 1, 1. pkt., indsættes efter »§ 24, stk. 3«: », § 24 a, stk. 1, og § 24 b, stk. 1«.
2013-1640; I § 45, stk. 5, 2. pkt., ændres »§ 46, stk. 2« til: »§ 46, stk. 1«.
2013-1640; § 46, stk. 1, ophæves.
2013-1640; I § 46 indsættes efter stk. 2, der bliver stk. 1, som nyt stykke:
2013-1640; I § 50, stk. 5, ændres »§ 16, stk. 5, jf. dog stk. 8« til: »§ 16 c, stk. 1, jf. dog stk. 7«.
2013-1640; I § 50, stk. 6, ændres »§ 16, stk. 6« til: »§ 16 c, stk. 2«.
2013-1640; I § 50, stk. 8, 1. pkt., ændres »stk. 6-8« til: »stk. 5-7«.
2013-1640; I § 55, stk. 1, udgår », jf. dog stk. 2«.
2013-1640; I § 55, stk. 1, indsættes som 2. pkt.:
2013-1640; § 55, stk. 2, ophæves.
2013-1640; I overskriften til kapitel 11 indsættes efter »folkeskolen«: »og dagtilbud«.
2013-1640; § 57 affattes således:
2013-1640; I § 57 a, stk. 1, og § 57 c ændres »Rådet for Evaluering og Kvalitetsudvikling« til: »Rådet for Børns Læring«.
2013-1640; I § 57 a, stk. 2, 1. pkt., ændres »3-5 personer« til: »5-7 personer«, og efter »folkeskolen« indsættes: »og dagtilbud«.
2013-1640; I § 57 a, stk. 2, indsættes efter 2. pkt.:
2013-1640; § 57 a, stk. 3, affattes således:
2013-1640; I § 57 a, stk. 4, 2. pkt., ændres »stk. 3, nr. 4« til: »stk. 3, nr. 3 og 6«.
2013-1640; I § 57 b, stk. 1, 1. pkt., indsættes efter »Rådet«: »for Børns Læring«.
2013-1640; I § 57 b, stk. 2, 1. pkt., og stk. 3, 1. pkt., ændres »børne- og undervisningsministeren« til: »undervisningsministeren og social-, børne- og integrationsministeren«.
2013-1640; I § 57 b, stk. 2, 1. pkt., indsættes efter »folkeskolen«: »og dagtilbud«.
2013-1640; Som bilag 1 indsættes bilag 1 til denne lov.
2013-1640; I § 2 indsættes efter stk. 2 som nyt stykke:
2013-1640; § 3, stk. 2, nr. 4, affattes således:
2013-1640; I § 3, stk. 2, indsættes som nr. 5:
2013-1640; Efter § 4 indsættes:
2013-1640; I § 5, stk. 2, ændres »jf. §§ 2, 3 og 7« til: »jf. §§ 2, 3, 7 og 8«.
2013-1640; I § 7, stk. 1, 1. pkt., ændres »7-11 medlemmer« til: »7 eller flere medlemmer, jf. dog § 4 a«.
2013-1640; I § 7, stk. 1, 3. pkt., indsættes efter »I ungdomsskolebestyrelsen skal der«: »som minimum«, og nr. 1 ophæves.
2013-1640; I § 7, stk. 2, 1. pkt., ændres »§ 8, stk. 5« til: »§ 8, stk. 4«, og 2. pkt. ophæves.
2013-1640; I § 7, stk. 5, indsættes efter »om dens nedsættelse og funktion«: »samt om valgperiode m.v.«
2013-1640; I § 10, stk. 1, indsættes efter »ungdomsskoleinspektør«: », jf. dog § 4 a«.
2013-1640; § 3 b affattes således:
2013-1640; I § 4, stk. 1, indsættes som 2. pkt.:
2013-1640; I § 1, stk. 3, 5. pkt., ændres »10.-klasses-prøver« til: »10.-klasseprøver«.
2013-1640; I overskriften til kapitel 2 a ændres »afgangsprøver« til: »9.-klasseprøver«.
2013-1640; I § 8 a, stk. 1, 1. pkt., § 8 a, stk. 2, 1. pkt., § 8 a, stk. 7, 1. pkt., og § 8 c ændres »afgangsprøver« til: »9.-klasseprøver«.
2013-1640; I § 8 a, stk. 5 og 6, ændres »afgangsprøve« til: »9.-klasseprøve«.
2013-1640; I § 8 a, stk. 7, 2. pkt., ændres »afgangsprøverne« til: »9.-klasseprøverne«.
2013-1640; I overskriften til kapitel 1 a ændres »afgangsprøver« til: »9.-klasseprøver«.
2013-1640; I § 5 a, stk. 1, 5 og 7, og i § 5 c ændres »afgangsprøver« til: »9.-klasseprøver«.
2013-1640; I § 5 a, stk. 3, 1. pkt., og stk. 4, ændres »afgangsprøve« til: »9.-klasseprøve«.
2013-1640; I § 5 a, stk. 5, ændres »afgangsprøverne« til: »9.-klasseprøverne«.
2013-1640; I § 2, stk. 2, 1. pkt., § 5, stk. 2, nr. 1, og § 8, stk. 1, 4. pkt., ændres »Rådet for Evaluering og Kvalitetsudvikling af Folkeskolen« til: »Rådet for Børns Læring«.
2013-1641; § 15 affattes således:
2013-212; I § 20 indsættes som stk. 8:
2013-212; I § 22, stk. 5, 2. pkt., udgår »anbragt i anbringelsesstedet«.
2013-213; I § 1 indsættes som stk. 3 :
2013-217; Fodnoten til lovens titel affattes således:
2013-217; I § 8 a indsættes som stk. 2:
2013-217; § 9 affattes således:
2013-217; § 16, stk. 2, affattes således:
2013-217; § 16, stk. 4, affattes således:
2013-218; I § 44, stk. 1, ændres »jf. dog stk. 4« til: »jf. dog stk. 4 og 5«.
2013-218; I § 44 indsættes som stk. 5:
2013-218; § 52, stk. 1, affattes således:
2013-218; Efter § 4 indsættes:
2013-270; I § 1, stk. 4, 1. pkt., indsættes efter »private plejeboliger«: », jf. dog § 1, stk. 4, i lov om leje af erhvervslokaler m.v.«
2013-270; Efter § 59 c indsættes:
2013-270; Efter § 106 indsættes:
2013-270; I § 113 a, stk. 3, nr. 2, ændres »af byggeloven« til: »af byggelovens § 30«, og efter »eller andre,« indsættes: »eller for i forbindelse med udlejning at benytte lokaler til beboelse, som ikke efter byggeloven lovligt må anvendes til beboelse,«.
2013-270; Efter § 25 c indsættes:
2013-270; § 39, stk. 1, affattes således:
2013-270; I § 1 indsættes efter stk. 2 som nye stykker:
2013-270; I § 161, stk. 3, indsættes som 2. pkt.:
2013-271; I § 59 indsættes som stk. 11 og 12:
2013-271; I § 64, stk. 4, ændres to steder »§ 59, stk. 3 og 8-10« til: »§ 59, stk. 3 og 8-12«.
2013-272; § 91 c, 1. pkt., affattes således:
2013-273; I § 20, stk. 1, nr. 8, ændres »§ 179, stk. 5« til: »§ 179«.
2013-273; § 20, stk. 2, 1. pkt., ophæves, og i stedet indsættes:
2013-273; I § 20, stk. 5, ændres »§ 86, stk. 1« til: »§ 86, stk. 2«.
2013-273; I § 27, stk. 2, ændres »almen boligorganisation, til en selvejende almen institution« til: »almen boligorganisation eller til en selvejende almen institution«.
2013-273; I § 28, stk. 1, indsættes efter 1. pkt.:
2013-273; § 31, stk. 1, affattes således:
2013-273; I § 34, stk. 3, ændres »ældre« til: »beboere«.
2013-273; I § 51, stk. 7, indsættes efter »§ 86, stk. 1«: »-3«.
2013-273; I § 51 b, stk. 1, 1. pkt., udgår »eller starthjælp« og »eller introduktionsydelse efter lov om integration af udlændinge i Danmark«.
2013-273; I § 51 b, stk. 5, ændres »stk. 2 og 3« til: »stk. 3 og 4«.
2013-273; Overskriften til kapitel 5 affattes således:
2013-273; I § 74, stk. 2, ændres »stk. 1« til: »§ 118, stk. 1 eller 2,«.
2013-273; I § 74, stk. 3, ændres »Regionen eller kommunen« til: »Kommunen«, og »§ 118, stk. 2« ændres til: »§ 118, stk. 1 eller 2«.
2013-273; I § 74, stk. 4, udgår »eller regionen«.
2013-273; I § 74, stk. 5, 1. pkt., udgår »eller regionens«, og i 2. pkt. udgår »eller regionen«.
2013-273; I § 80 b, stk. 1, udgår », der har fået tilsagn om støtte før den 1. januar 1999,«.
2013-273; § 82, stk. 4, ophæves, og i stedet indsættes:
2013-273; § 104, stk. 2, 1. pkt., affattes således:
2013-273; § 115, stk. 7, affattes således:
2013-273; I § 137, stk. 1, udgår to steder »gennem kommunalbestyrelsen«.
2013-273; § 142 affattes således:
2013-273; § 160 k affattes således:
2013-273; § 179, stk. 5, affattes således:
2013-273; I § 179, stk. 6, 2. pkt., udgår »med undtagelse af lån efter § 91, stk. 1, jf. § 20, stk. 1, nr. 8«.
2013-273; § 194 ophæves.
2013-273; I § 23, stk. 2, ændres »stk. 2 og 3« til: »stk. 5 og 6«.
2013-273; Overskriften til kapitel 14 affattes således:
2013-273; § 86, stk. 1, ophæves, og i stedet indsættes:
2013-273; I § 86, stk. 4, der bliver stk. 6, ændres »stk. 2 og 3« til: »stk. 4 og 5«.
2013-273; Efter § 86 indsættes:
2013-273; § 66 a ophæves.
2013-274; Efter § 40 indsættes:
2013-274; I § 42 indsættes efter stk. 2 som nyt stykke:
2013-274; I § 43, stk. 3, ændres »stk. 3« til: »stk. 4«.
2013-274; § 46 affattes således:
2013-274; I § 46 h, 2. pkt., ændres »Uddannelsesstøtten« til: »Statens Uddannelsesstøtteordninger«, og »§ 46, stk. 2 og 3« ændres til: »lov om Ankenævnet for Statens Uddannelsesstøtteordninger«.
2013-274; § 22 affattes således:
2013-274; § 17 affattes således:
2013-274; § 57 affattes således:
2013-274; § 38 a affattes således:
2013-274; § 40 a affattes således:
2013-274; § 30 affattes således:
2013-274; I § 30, stk. 4, 4. pkt., udgår », stk. 1«.
2013-274; § 50 affattes således:
2013-277; Fodnote 2 til lovens titel affattes således:
2013-277; I § 15 a, stk. 4, nr. 1, litra a og b, ændres »lovens bilag 1« til: »§ 33«.
2013-277; I § 23, stk. 1, ændres »som skal godkendes efter § 33« til: »som er omfattet af regler udstedt i medfør af § 35, af biocidmidler, som skal godkendes efter Europa-Parlamentets og Rådets forordning (EU) nr. 528/2012 af 22. maj 2012 om tilgængeliggørelse på markedet og anvendelse af biocidholdige produkter«.
2013-277; I § 27, stk. 1, ændres »der skal godkendes efter § 33« til: »som er omfattet af regler udstedt i medfør af § 35, for salg af biocidmidler, som skal godkendes efter Europa-Parlamentets og Rådets forordning (EU) nr. 528/2012 af 22. maj 2012 om tilgængeliggørelse på markedet og anvendelse af biocidholdige produkter«.
2013-277; I § 32 a, stk. 1, ændres »§ 38« til: »regler udstedt i medfør af § 35«.
2013-277; § 33 affattes således:
2013-277; §§ 33 a og 33 b ophæves.
2013-277; Overskriften før § 34 ophæves.
2013-277; § 34 affattes således:
2013-277; Overskriften før § 35 ophæves.
2013-277; §§ 35-35 f ophæves, og i stedet indsættes:
2013-277; § 36, stk. 1, affattes således:
2013-277; I § 36, stk. 2, ændres »65 kr.« til: »100 kr.«
2013-277; I § 37 ændres »plantebeskyttelsesmidler og biocidmidler« til: »bekæmpelsesmidler«.
2013-277; Overskriften før § 38 affattes således:
2013-277; § 38 ophæves.
2013-277; I § 41 ændres »§ 33« til: »regler udstedt i medfør af § 35«, og »regler efter § 34« ændres til: »disse regler«.
2013-277; § 42, stk. 2, affattes således:
2013-277; I § 42, stk. 3, ændres »stoffer og blandinger« til: »stoffer, blandinger og andre varer«.
2013-277; I § 42 indsættes som stk. 4:
2013-277; § 45, stk. 1, 2. pkt., affattes således:
2013-277; I § 52, stk. 1, udgår »til de personer, organisationer og myndigheder, der kan klage over afgørelsen, jf. § 55 og § 56, og de myndigheder, der i øvrigt har været inddraget i sagens behandling«.
2013-277; § 53, stk. 2, ophæves.
2013-277; §§ 54-57 ophæves, og i stedet indsættes:
2013-277; I § 59, stk. 1, nr. 1, udgår »§ 34, stk. 2, § 35 d, stk. 1,«.
2013-277; I § 59, stk. 1, nr. 3, udgår »eller at indhente godkendelse efter § 33, stk. 1,«.
2013-277; I § 59, stk. 1, nr. 4, udgår »eller til en godkendelse efter § 35, stk. 5,«.
2013-277; § 59, stk. 1, nr. 10, ophæves.
2013-277; I § 59, stk. 3, ændres »§ 33, stk. 1, og vilkår meddelt efter § 35, stk. 5,« til: »og krav om godkendelse i henhold til eller vilkår meddelt efter EU-forordninger om bekæmpelsesmidler«.
2013-277; I § 59, stk. 4, ændres »§ 33, stk. 3 og 8, § 35, stk. 6, § 36, stk. 2, § 37, § 38, stk. 3,« til: »§ 35, § 36, stk. 2, § 37,«.
2013-277; I § 59, stk. 5, ændres »og § 27« til: », § 27 og § 35«.
2013-277; I § 61 ændres »8, 9 og 11« til: »og 8-10«, og »§ 33, stk. 8« ændres til: »§ 35«.
2013-277; Bilag 1 og 2 ophæves.
2013-277; I § 1, stk. 1, ændres »eller efter Europa-Parlamentets og Rådets forordning (EF) nr. 1107/2009 af 21. oktober 2009 om markedsføring af plantebeskyttelsesmidler og om ophævelse af Rådets direktiv 79/117/EØF og 91/414/EØF« til: », efter regler udstedt i medfør af kapitel 7 i lov om kemikalier, efter Europa-Parlamentets og Rådets forordning (EF) nr. 1107/2009 af 21. oktober 2009 om markedsføring af plantebeskyttelsesmidler og om ophævelse af Rådets direktiv 79/117/EØF og 91/414/EØF eller efter Europa-Parlamentets og Rådets forordning (EU) nr. 528/2012 af 22. maj 2012 om tilgængeliggørelse på markedet og anvendelse af biocidholdige produkter«.
2013-277; Overskriften til kapitel 2 affattes således:
2013-277; I § 7, stk. 1, ændres »eller efter Europa-Parlamentets og Rådets forordning (EF) nr. 1107/2009 af 21. oktober 2009 om markedsføring af plantebeskyttelsesmidler og om ophævelse af Rådets direktiv 79/117/EØF og 91/414/EØF« til: », efter regler udstedt i medfør af kapitel 7 i lov om kemikalier, efter Europa-Parlamentets og Rådets forordning (EF) nr. 1107/2009 af 21. oktober 2009 om markedsføring af plantebeskyttelsesmidler og om ophævelse af Rådets direktiv 79/117/EØF og 91/414/EØF eller efter Europa-Parlamentets og Rådets forordning (EU) nr. 528/2012 af 22. maj 2012 om tilgængeliggørelse på markedet og anvendelse af biocidholdige produkter«.
2013-277; § 7 affattes således:
2013-277; § 27 affattes således:
2013-277; § 1, nr. 6, 7 og 21, ophæves.
2013-326; § 91 affattes således:
2013-326; § 92 ophæves.
2013-326; I § 93, stk. 1, ændres »§§ 91, 92, 94 og 94 b« til: »§§ 91 og 94«.
2013-326; § 94 b ophæves.
2013-326; § 2, stk. 2, ophæves.
2013-327; Efter § 2 indsættes:
2013-327; § 5, stk. 1, 2. pkt., affattes således:
2013-327; § 3, stk. 2, nr. 4, affattes således:
2013-347; I § 15, stk. 3, ændres »eller opsiger sognebåndsløsningen,« til: »eller opsiger sognebåndsløsningen, eller hvor sognebåndsløseren mister sin valgbarhed på grund af en pastoratsændring,«.
2013-347; I § 5 indsættes som stk. 6-8:
2013-347; § 2, stk. 2, 2. pkt., affattes således:
2013-347; I § 14, stk. 2, udgår », og at han, såfremt han allerede er ansat som præst i folkekirken, fratræder denne stilling«.
2013-347; I § 14 indsættes som stk. 3:
2013-347; I § 13 indsættes som stk. 2:
2013-347; Overskriften til § 14 affattes således:
2013-347; I § 14, stk. 1, nr. 1, ændres »sognet« til: »provstiet«.
2013-347; I § 14 indsættes som stk. 4:
2013-356; Efter § 1 indsættes:
2013-356; Efter kapitel 11 indsættes:
2013-356; I § 67, stk. 1, nr. 6, og § 81 a, stk. 1, nr. 5, ændres »Landbrugsraadet« til: »Landbrug & Fødevarer«.
2013-356; I § 74, stk. 7, nr. 1, indsættes efter »Godkendelse og kvalitetssikring«: »samt uddannelse«.
2013-356; § 81, stk. 1, affattes således:
2013-356; § 82, stk. 6, affattes således:
2013-357; Efter § 10 a indsættes i kapitel 4 a:
2013-357; I § 110, stk. 2, indsættes som 2. pkt.:
2013-357; Lovens titel affattes således:
2013-357; Overalt i loven ændres »SDPI-løsningen« til: »Nemrefusion«.
2013-357; I § 1, stk. 1, ændres »til brug for anmeldelse af sygefravær samt anmodning om refusion af sygedagpenge og dagpenge efter barselloven (SDPI-løsningen)« til: »Nemrefusion«.
2013-357; § 1, stk. 2, nr. 1-3, affattes således:
2013-357; I § 2 og § 9, stk. 1, ændres »SDPI-løsningens« til: »Nemrefusions«.
2013-357; § 3 affattes således:
2013-357; I § 4, stk. 1, ændres »behandling af en sag om sygedagpenge« til: »sagsbehandling«.
2013-357; § 5 affattes således:
2013-357; I § 14, stk. 2, indsættes efter »kommunerne«: »og Udbetaling Danmark«.
2013-357; Overalt i loven ændres »SDPI-løsningen« til: »Nemrefusion«.
2013-357; § 11, stk. 3, 2. pkt., affattes således:
2013-357; Overalt i loven ændres »SDPI-løsningen« til: »Nemrefusion«.
2013-358; I § 5 m, stk. 4, 1. pkt., ændres »§ 5 q, stk. 2 og 3« til: »§ 5 q, stk. 2«.
2013-358; § 5 m, stk. 6, ophæves.
2013-358; I § 5 q, stk. 1, ændres »stk. 2 og 3« til: »stk. 2«.
2013-358; § 5 q, stk. 2, affattes således:
2013-358; § 5 q, stk. 3, ophæves.
2013-358; Kapitel 2 e ophæves.
2013-358; I § 11 b, stk. 1, nr. 7, ændres »§ 5 q, stk. 2 og 3,« til: »§ 5 q, stk. 2,«.
2013-358; I § 11 e, stk. 5, ændres »§ 5 q, stk. 2 og 3« til: »§ 5 q, stk. 2«.
2013-358; I § 15 indsættes som stk. 11:
2013-358; I § 23 a, stk. 6, ændres »stk. 4« til: »stk. 5«.
2013-358; I § 35, stk. 1, indsættes som 2. pkt.:
2013-358; § 35 a ophæves.
2013-358; I § 36, stk. 1, indsættes som nr. 14 og 15:
2013-358; Bilag 2 ophæves.
2013-359; Efter § 1 indsættes:
2013-359; Efter § 5 indsættes:
2013-359; I § 6 indsættes før stk. 1 som nyt stykke:
2013-360; § 2, stk. 1, affattes således:
2013-360; I § 2, stk. 5, indsættes som 2. pkt.:
2013-360; I § 2 indsættes som stk. 6:
2013-360; I § 4, stk. 1, ændres »stk. 6« til: »stk. 8«.
2013-360; I § 4 indsættes efter stk. 4 som nye stykker:
2013-360; I § 4, stk. 5, der bliver stk. 7, ændres »stk. 6« til: »stk. 8«.
2013-360; § 5, stk. 1, affattes således:
2013-361; § 6, stk. 3, ophæves.
2013-361; I § 6, stk. 4, der bliver stk. 3, ændres »afgørelser efter stk. 2 og 3« til: »afgørelser efter stk. 2«.
2013-361; I § 6, stk. 5, der bliver stk. 4, ændres »i medfør af stk. 3« til: »i medfør af stk. 2«.
2013-361; I § 8 indsættes efter stk. 2 som nyt stykke:
2013-361; I § 8, stk. 4, 2. pkt., der bliver stk. 5, 2. pkt., ændres »afgørelser efter stk. 1 og 2« til: »afgørelser efter stk. 1-3«.
2013-361; I § 9, stk. 1, ændres »§ 6, stk. 5« til: »§ 6, stk. 4«, og »§ 8, stk. 5« ændres til: »§ 8, stk. 6«.
2013-361; Efter § 215 a indsættes:
